experiment_name,target,model_name,status,n_min,k_outer,f1_macro_mean,f1_macro_std,balanced_accuracy_mean,recall_macro_mean,precision_macro_mean,stability,icn,search_type,search_scoring,search_n_iter,best_params_mode,message
grid_all,GDS,Bagging,Implementado,2,2,0.345914,0.002047,0.378034,0.378034,0.341471,1.000000,0.543965,grid,f1_macro,,"clf__estimator__max_depth=None, clf__max_samples=0.7, clf__n_estimators=50 (2/2)",
grid_all,GDS,AdaBoost,Implementado,2,2,0.301426,0.022836,0.432180,0.432180,0.299975,0.634401,0.401661,grid,f1_macro,,"clf__estimator__max_depth=2, clf__learning_rate=0.5, clf__n_estimators=50 (1/2)",
grid_all,GDS,Stacking,Implementado,2,2,0.364157,0.058910,0.473101,0.473101,0.365045,0.000000,0.936092,grid,f1_macro,,"clf__final_C=1.0, clf__n_neighbors=7, clf__tree_max_depth=2 (2/2)",
grid_all,GDS,Gradient Boosting,Implementado,2,2,0.341279,0.009874,0.349028,0.349028,0.362918,0.862365,0.445228,grid,f1_macro,,"clf__learning_rate=0.1, clf__max_depth=2, clf__n_estimators=50, clf__subsample=1.0 (1/2)",
random_all,GDS,Bagging,Implementado,2,2,0.311975,0.017776,0.394397,0.394397,0.318175,0.723384,0.365198,random,f1_macro,12,"clf__estimator__max_depth=None, clf__max_samples=0.6092249700165663, clf__n_estimators=115 (1/2)",
random_all,GDS,AdaBoost,Implementado,2,2,0.291752,0.023601,0.366050,0.366050,0.306124,0.620958,0.139935,random,f1_macro,12,"clf__estimator__max_depth=3, clf__learning_rate=0.5714334089609704, clf__n_estimators=27 (1/2)",
random_all,GDS,Stacking,Implementado,2,2,0.330117,0.021558,0.445519,0.445519,0.340995,0.656884,0.659080,random,f1_macro,12,"clf__final_C=0.6847920095574779, clf__n_neighbors=5, clf__tree_max_depth=None (2/2)",
random_all,GDS,Gradient Boosting,Implementado,2,2,0.327592,0.016189,0.335167,0.335167,0.375557,0.751309,0.335563,random,f1_macro,12,"clf__learning_rate=0.010944158354662342, clf__max_depth=4, clf__n_estimators=108, clf__subsample=0.8199582915145767 (1/2)",
grid_all,GDS_R1,Bagging,Implementado,22,5,0.687265,0.032999,0.742819,0.742819,0.658796,1.000000,0.496972,grid,f1_macro,,"clf__estimator__max_depth=None, clf__max_samples=0.7, clf__n_estimators=50 (3/5)",
grid_all,GDS_R1,AdaBoost,Implementado,22,5,0.675805,0.086302,0.712524,0.712524,0.668972,0.000000,0.210855,grid,f1_macro,,"clf__estimator__max_depth=3, clf__learning_rate=0.5, clf__n_estimators=25 (3/5)",
grid_all,GDS_R1,Stacking,Implementado,22,5,0.666433,0.058726,0.784312,0.784312,0.619566,0.517343,0.616071,grid,f1_macro,,"clf__final_C=1.0, clf__n_neighbors=3, clf__tree_max_depth=2 (2/5)",
